Lengua;Anio;Nivel_euskara;C.A de Euskadi;Araba/Ãlava;Bizkaia;Gipuzkoa
Euskera;2001;Euskaldunes;275144;5207;93511;176426
Euskera;2021;Euskaldunes;282303;9108;95027;178168
Euskera;2001;Cuasi-euskaldunes;3057;108;945;2004
Euskera;2021;Cuasi-euskaldunes;35;0;1;34
Euskera;2001;Erdaldunes;0;0;0;0
Euskera;2021;Erdaldunes;0;0;0;0
Castellano;2001;Euskaldunes;240263;32338;124303;83622
Castellano;2021;Euskaldunes;411420;68427;225713;117280
Castellano;2001;Cuasi-euskaldunes;434562;66424;256590;111548
Castellano;2021;Cuasi-euskaldunes;379343;62701;206580;110062
Castellano;2001;Erdaldunes;894596;162887;545299;186410
Castellano;2021;Erdaldunes;764073;145269;456218;162586
Las dos;2001;Euskaldunes;140687;7674;55716;77297
Las dos;2021;Euskaldunes;232072;21353;102862;107857
Las dos;2001;Cuasi-euskaldunes;30685;2137;13561;14987
Las dos;2021;Cuasi-euskaldunes;22196;2372;10692;9132
Las dos;2001;Erdaldunes;0;0;0;0
Las dos;2021;Erdaldunes;0;0;0;0
Otra;2001;Euskaldunes;886;93;342;451
Otra;2021;Euskaldunes;11017;1986;4758;4273
Otra;2001;Cuasi-euskaldunes;1820;238;938;644
Otra;2021;Cuasi-euskaldunes;11422;2106;5068;4248
Otra;2001;Erdaldunes;11547;2354;6083;3110
Otra;2021;Erdaldunes;49240;11875;22273;15092